,text,label
45,"Human Papillomavirus 9-Valent Vaccine (Recombinant, Adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
46,"Human Albumin, Solution for Intravenous Infusion, Blood Substitute and Plasma Protein Fractions",Prescription Drug (Rx)
47,"Human Albumin, Solution for Intravenous Infusion, -",Prescription Drug (Rx)
48,"Filgrastim, Solution for Injection (IV/SC), Immunostimulant",Prescription Drug (Rx)
49,"Filgrastim, Solution for Injection (IV/SC), Immunostimulant",Prescription Drug (Rx)
50,"Insulin Degludec + Insulin Aspart, Solution for Injection (SC), -",Prescription Drug (RX)
51,"Lactobacillus gasseri + Lactobacillus rhamnosus, Hard Vaginal Capsule, Anti-infectives/Antiseptics",Prescription Drug (RX)
52,"Filgrastim, Solution for Injection (IV/SC), -",Prescription Drug (RX)
53,"Filgrastim, Solution for Injection (IV/SC), -",Prescription Drug (RX)
54,"Heparin Sodium, Solution For Injection (IV/SC), -",Prescription Drug (RX)
55,"Heparin Sodium, Solution For Injection (IV/SC), -",Prescription Drug (RX)
56,"Follitropin Alfa / Lutropin Alfa, Powder for Solution for Injection (SC), -",Prescription Drug (RX)
57,"Human Coagulation Factor VIII, Powder for Solution for Intravenous Injection, Plasma Fractions for Specific Use",Prescription Drug (Rx)
58,"Human Coagulation Factor VIII, Powder for Solution for Intravenous Injection, Plasma Fractions for Specific Use",Prescription Drug (Rx)
59,"Alteplase, Powder for Solution for Infusion (IV), -",Prescription Drug (RX)
60,"Insulin aspart, Solution for Injection (SC/IV), Antidiabetic",Prescription Drug (Rx)
61,"Filgrastim, Solution for Injection (IV/SC), IMMUNOSTIMULANT",Prescription Drug (Rx)
62,"Affinity-Purified Antibodies To Human Interferon Gamma, Orodispersible Tablet, Immunostimulants",Prescription Drug (RX)
63,"Menotrophin, Powder for Solution for Injection (SC), Gonadotropins",Prescription Drug (RX)
64,"Filgrastim, Solution For Injection/Infusion (SC/IV), Colony Stimulating Factors",Prescription Drug (RX)
65,"Clostridium Botulinum Type A Neurotoxin complex, Powder for Solution for Injection (IM), -",Prescription Drug (RX)
66,"Vedolizumab, Powder for Concentrate for Solution for 
Infusion (IV), -",Prescription Drug (RX)
67,"Idarucizumab, Solution For Injection (IV), -",Prescription Drug (RX)
68,"Human Papillomavirus 9-Valent Vaccine (Recombinant, 
Adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
69,"Peginterferon alfa-2a, Solution for S.C. Injection, IMMUNOSTIMULANT",Prescription Drug (Rx)
70,"RECOMBINANT HUMAN ERYTHROPOIETIN, Solution for Injection, HEMATOPOIETIC GROWTH FACTOR",Prescription Drug (Rx)
71,"Streptokinase, Powder For Injection (IV), -",Prescription Drug (RX)
72,"Isophane Insulin Human, Solution for Injection (SC), Intermediate Acting Insulin",Prescription Drug (Rx)
73,"Insulin Human (Regular), Solution for Injection (SC), Short Acting Insulin",Prescription Drug (Rx)
74,"Biphasic Insulin, Suspension for Injection (SC), Intermediate Acting Insulin",Prescription Drug (Rx)
75,"Adalimumab, Solution for Injection (SC), Tumor Necrosis Factor Alpha (TNF-a) Inhibitors",Prescription Drug (RX)
76,"Pegfilgrastim, Solution For Injection (SC), -",Prescription Drug (RX)
77,"Filgrastim, Solution For Injection (SC/IV), -",Prescription Drug (RX)
78,"Filgrastim, Solution For Injection (IV/SC), -",Prescription Drug (RX)
79,"Insulin Degludec + Liraglutide, Solution for Injection (SC), -",Prescription Drug (RX)
80,"Insulin Detemir, Solution for injection, Insulin and analogue for injection, long-acting",Prescription Drug (RX)
81,"Botulinum Toxin Type A (from Clostridium botulinum), Powder For Solution For Injection (IM), Muscle Relaxant",Prescription Drug (RX)
82,"Botulinum Toxin Type A (from Clostridium botulinum), Powder For Solution For Injection (IM), Muscle Relaxant",Prescription Drug (RX)
83,"Botulinum Toxin Type A (from Clostridium botulinum), Powder For Solution For Injection (IM), Muscle Relaxant",Prescription Drug (RX)
84,"Botulinum Toxin* Type A (*from Clostridium botulinum), Powder for Solution for Injection (IM), Muscle Relaxant",Prescription Drug (Rx)
85,"Isophane Insulin Human, Recombinant DNA, Sterile Suspension For Injection ( Sc ), Intermediate-acting Insulin",Prescription Drug (RX)
86,"Regular Insulin Human, Recombinant DNA, Sterile Suspension For Injection ( Sc ), Short-acting Insulin",Prescription Drug (RX)
87,"Neutral Insulin Human + Isophane Insulin Human, Recombinant DNA, Sterile Suspension For Injection ( Sc ), Intermediate-acting Insulin",Prescription Drug (RX)
88,"Trastuzumab, Powder for Concentrate for Solution for 
Infusion (IV), Monoclonal Antibodies",Prescription Drug (RX)
89,"Trastuzumab, Powder For Concentrate For Solution For Infusion (IV), Monoclonal Antibodies",Prescription Drug (Rx)
90,"Human Normal Immunoglobulin, Solution for Infusion (IV), -",Prescription Drug (RX)
91,"Human Normal Immunoglobulin, Solution for Infusion (IV), -",Prescription Drug (RX)
92,"Follitropin Alfa, Solution for Injection (I.M./S.C.), -",Prescription Drug (RX)
93,"Follitropin Alfa, Solution for Injection (SC/IM), -",Prescription Drug (RX)
94,"Follitropin Alfa, Solution for Injection (SC/IM), -",Prescription Drug (RX)
95,"Follitropin Alfa, Solution for Injection (SC/IM), -",Prescription Drug (RX)
96,"Heparin Sodium, Solution For Injection (IV/SC), -",Prescription Drug (RX)
97,"Nimotuzumab, Solution For IV Infusion, -",Prescription Drug (RX)
98,"Menotrophin, Solution for Injection, GONADOTROPHIN",Prescription Drug (RX)
99,"Menotrophin, Solution for Injection, GONADOTROPHIN",Prescription Drug (RX)
100,"Chorionic Gonadotrophin, Solution For Injection/ 5000 I.U., Gonadotropins",Prescription Drug (RX)
101,"Urofollitropin, Lyophilized Powder for Solution for Injection (IM/SC), Gonadotropins",Prescription Drug (RX)
102,"Diphtheria, Tetanus, Pertussis, Hepatitis B Recombinant and Haemophilus influenza B Tyoe (Hib) Vaccine, Solution for IM Injection, Vaccine",Prescription Drug (RX)
103,"Diphtheria, Tetanus, Pertussis, Hepatitis B Recombinant and Haemophilus influenza B Tyoe (Hib) Vaccine, Solution for IM Injection, Vaccine",Prescription Drug (RX)
104,"Evolocumab, Solution for Injection in Pre-filled Autoinjector, Anti-PCSK9 Monoclonal Antibody",Prescription Drug (Rx)
105,"Evolocumab, Pre-filled Syringe for Injection, Anti-PCSK9 Monoclonal Antibody",Prescription Drug (Rx)
106,"Insulin aspart, Solution for Injection (SC/IV), -",Prescription (Rx) Drug
107,"Insulin aspart, Solution for Injection (IV/SC), Insulins and Analogues",Prescription (Rx) Drug
108,"Insulin Glargine/ Lixisenatide, Solution for Injection (SC), Long-acting Insulin and Analogue.",Prescription (Rx) Drug
109,"Insulin Glargine/ Lixisenatide, Solution for Injection (SC), Long-acting Insulin and Analogue",Prescription (Rx) Drug
110,"Human Albumin, Solution for Intravenous Infusion, Plasma fractions for specific uses",Prescription Drug (Rx)
111,"Human Albumin, Solution for Intravenous Infusion, Plasma fractions for specific uses",Prescription Drug (Rx)
112,"Human Albumin, Solution for Intravenous Infusion, Plasma fractions for specific uses",Prescription Drug (Rx)
113,"Human Albumin, Solution for Intravenous Infusion, Plasma fractions for specific uses",Prescription Drug (Rx)
114,"Atezolizumab, Concentrate for Solution for
Infusion, -",Prescription Drug (RX)
115,"Eptacog alfa activated, Powder And Solvent For Solution For Injection, Blood Coagulation Factor",Prescription Drug (RX)
116,"Isophane Insulin (Recombinant DNA), Suspension for Injection (SC), -",Prescription Drug (RX)
117,"Inactivated Poliomyelitis Vaccine (Types 1, 2 And 3), Suspension For Injection (IM/SC), -",Prescription Drug (RX)
118,"Dulaglutide, Solution For Injection, Antidiabetic",Prescription Drug (RX)
119,"Dulaglutide, Solution For Injection, Antidiabetic",Prescription Drug (Rx)
120,"Ixekizumab, Solution For Injection (SC), Interleukin Inhibitor",Prescription Drug (RX)
121,"Ixekizumab, Solution For Injection (SC), Interleukin Inhibitor",Prescription Drug (RX)
122,"Hepatitis A (Inactivated) Vaccine (Adsorbed), Suspension for Injection (IM), Vaccine",Prescription Drug (Rx)
123,"Hepatitis A (Inactivated) Vaccine (Adsorbed), Suspension for Injection (IM), Vaccine",Prescription Drug (RX)
124,"Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) [See formulation], Suspension For Im Injection, Vaccine",Prescription Drug (RX)
125,"Trastuzumab, Powder for Concentrate Solution For Infusion (IV), Antineoplastic Agents (Monoclonal Antibodies)",Prescription Drug (RX)
126,"Follitropin Alfa / Lutropin Alfa, Solution For Injection (SC), -",Prescription Drug (RX)
127,"Follitropin alfa / Lutropin alfa, Solution For Injection (SC), -",Prescription Drug (Rx)
128,"Follitropin alfa / Lutropin alfa, Solution For Injection (SC), -",Prescription Drug (Rx)
129,"Botulinum Toxin Type A, Lyophilized Powder for Solution for Injection (IM/SC), -",Prescription Drug (RX)
130,"Adalimumab, Solution For Injection (SC), -",Prescription Drug (RX)
131,"Somatropin, Powder and Solvent for Solution for Injection (SC), Anterior Pituitary Lobe Hormones and Analogues",Prescription Drug (Rx)
132,"Somatropin, Powder and Solvent for Solution for Injection (SC), Anterior Pituitary Lobe Hormones and Analogues",Prescription Drug (Rx)
133,"Semaglutide, Solution For Injection (SC), -",Prescription Drug (RX)
134,"Semaglutide, Solution for Injection (SC), -",Prescription Drug (RX)
135,"Semaglutide, Solution for Injection 
(SC), -",Prescription Drug (RX)
136,"Rabies Vaccine (Inactivated) (Wistar Strain Rabies), Powder for Suspension for Injection (IM/ID), Vaccine",Prescription Drug (RX)
137,"Typhoid Polysaccharide Vaccine, Solution for Injection (IM/SC), -",Prescription Drug (RX)
138,"Rabbit Anti-Human Thymocyte Immunoglobulin, Powder for Solution for Infusion (IV), -",Prescription Drug (RX)
139,"Hepatitis B Immunoglobulin (Human), Solution For Injection, Immunoglobulin",Prescription Drug (RX)
140,"Diphtheria-Tetanus Toxoids And Pertussis ( DTP ) Vaccines, Suspension for Injection (IM) (Monodose), -",Prescription Drug (RX)
141,"Diphtheria-Tetanus Toxoid ( DT ), Suspension for Injection (IM) (Pediatric-Single Dose), VACCINE",Prescription Drug (Rx)
142,"Tetanus Toxoid (Adsorbed), Suspension for Injection (IM), VACCINE",Prescription Drug (Rx)
143,"Hepabig, Solution For Injection, Immunoglobulin",Prescription Drug (RX)
144,"Measles Vaccine (Live, Attenuated), Lyophilized Powder for Injection (SC), Vaccines",Prescription Drug (Rx)
145,"Clostridium botulinum Type A Neurotoxin Complex, Lyophilized Powder for Injection (IM), -",Prescription Drug (RX)
146,"Factor IX Complex, Iv, Plasma Fraction for Specific Use",Prescription Drug (RX)
147,"Factor IX Complex, Iv, Plasma Fraction for Specific Use",Prescription Drug (RX)
148,"Measles, Mumps, Rubella (MMR) Vaccine (Live, attenuated) [see formulation on reverse side], Powder for Solution for Injection (SC), -",Prescription Drug (Rx)
149,"Measles, Mumps and Rubella Vaccine (Live, Attenuated), Freeze-dried Powder for Suspension for Injection (SC), -",Prescription Drug (RX)
150,"Tetanus Toxoid ( Adsorbed ), Suspension For Injection (I.M), -",Prescription Drug (RX)
151,"Human Albumin, Solution for Intravenous Infusion, Plasma Fraction for Specific Use",Prescription Drug (RX)
152,"Diphtheria-Tetanus Toxoids ( Adsorbed ), Suspension For Injection(Im) Multidose, -",Prescription Drug (RX)
153,"Human Albumin, Solution for Injection for Infusion (IV), -",Prescription Drug (RX)
154,"Live Attenuated Measles Vaccine, Freeze-Dried Powder For Injection (Multidose) (SC), -",Prescription Drug (RX)
155,"Tetanus Toxoid ( Adsorbed ), Suspension For Injection (IM) (Multidose), -",Prescription Drug (RX)
156,"Human Albumin, Solution For Injection (IV), -",Prescription Drug (RX)
157,"Hepatitis B Vaccine (rdna), Suspension for IM Injection, Vaccine",Prescription Drug (Rx)
158,"Hepatitis B Vaccine (rdna), Suspension for IM Injection, Vaccine",Prescription Drug (Rx)
159,"Hepatitis B Vaccine (rdna), Suspension for IM Injection, Vaccine",Prescription Drug (Rx)
160,"Hepatitis A Vaccine (Inactivated, Adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
161,"Rabies Vaccine (Inactivated) (Wistar Strain Rabies), Powder for Suspension for Injection 
(ID/IM), -",Prescription Drug (RX)
162,"Rabies Vaccine (Inactivated), Lyophilized Powder for Injection (ID/IM), Vaccines",Prescription Drug (RX)
163,"Diphtheria, Tetanus, Pertussis (Acellular Component), And Poliomyelitis (Inactivated) Vaccine (Adsorbed), Suspension For Injection (IM), Vaccine",Prescription Drug (RX)
164,"Diphtheria, Tetanus, Pertussis (Acellular Poliomyelitis (Inactivated) Vaccine and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed), Suspension and Powder for Suspension for Injection (IM), -",Prescription Drug (RX)
165,"Tetanus Antitoxin Refined, Solution For Injection, Antisera",Prescription Drug (RX)
166,"Tetanus Antitoxin Refined, Solution For Injection, Antisera",Prescription Drug (RX)
167,"Tetanus Antitoxin Refined, Solution For Injection, Antisera",Prescription Drug (RX)
168,"Human Albumin, Solution for Injection for Infusion (IV), -",Prescription Drug (RX)
169,"Human Plasma Coagulation Factor VIII, Lyophilized Powder for Injection (IV), -",Prescription Drug (RX)
170,"Human Coagulation Factor IX, Lyophilized Powder For Injection, Plasma Fraction for Specific Use",Prescription Drug (RX)
171,"Botulinum Toxin Type A, Lyophilized Powder for Injection (IM/SC), 500 U Lyophilized Powder for Injection (IM/SC)",Prescription Drug (RX)
172,"HEPATITIS B VACCINE ( rDNA ), Suspension For Injection(IM), Vaccines",Prescription Drug (RX)
173,"HEPATITIS B VACCINE ( rDNA ), Suspension for Injection(IM) (Multidose) (Adult), Hepatitis Vaccine",Prescription Drug (RX)
174,"Hepatitis B vaccine (rDNA), Suspension For Injection (IM) Single Dose (Adult), -",Prescription Drug (RX)
175,"Hepatitis B Vaccine ( rDNA), Suspension for Injection (IM) (Pediatric), -",Prescription Drug (RX)
176,"Tuberculin Purified Protein Derivative, Solution For Injection (Id), Diagnostic Agent",Prescription Drug (RX)
177,"Bacillus Calmette-Guerin (BCG) Vaccine, Freeze-dried Powder for Intradermal Injection, Immunostimulant",Prescription Drug (RX)
178,"Human Tetanus Immunoglobulin, Solution For Injection (I.M.), -",Prescription Drug (RX)
179,"Human Papillomavirus Vaccine (Types 6, 11, 16 And 18) (Recombinant Adsorbed, Suspension for Injection IM, Vaccine",Prescription Drug (RX)
180,"Human Papillomavrius Vaccine [Types 6, 11, 16, 18] (Recombinant, Adsorbed), Suspension for Injection IM, Vaccine",Prescription Drug (RX)
181,"Rotavirus Vaccine, Live, Solution For Oral Administration - Single Dose, Vaccines",Prescription Drug (RX)
182,"Human Papillomavirus Vaccine [Types 16, 18] 
(Recombinant, Adjuvanted, Adsorbed), Suspension For Injection (I.M.), -",Prescription Drug (RX)
183,"Tetanus Toxoid Adsorbed, SUSPENSION FOR INJECTION (IM), VACCINE",Prescription Drug (Rx)
184,"Purified Vero Cell Rabies Vaccine, Freeze Dried Powder For Injection (I.M./I.D.), Vaccine",Prescription Drug (RX)
185,"Diphtheria, Tetanus and Acellular Pertussis Vaccine, Adsorbed', 0.5 mL Suspension for Injection (IM) - 2PE (See reverse for Formulation), -",Prescription Drug (RX)
186,"Epoetin alfa (Recombinant Human Erythropoietin), Solution for Injection (IV/SC), Other Antianemic Preparations",Prescription Drug (Rx)
187,"Epoetin Alfa, Solution For Injection (IV/SC), Anti-anaemic Preparations",Prescription Drug (RX)
188,"Methoxy Polyethylene Glycol-Epoetin Beta, Solution for Injection (I.V./S.C.), -",Prescription Drug (Rx)
189,"Methoxy Polyethylene Glycol-Epoetin Beta, Solution for Injection (I.V./S.C.), Erythropoiesis Stimulating Agent",Prescription Drug (Rx)
190,"Epoetin Alfa, Solution For Injection (IV/SC), Hematopoietic Growth Factors",Prescription Drug (RX)
191,"Methoxy Polyethylene Glycol-Epoetin Beta, Solution for Injection (I.V./S.C.), Erythropoiesis Stimulating Agent",Prescription Drug (Rx)
192,"Human Normal Immunoglobulin, Solution For Infusion (Iv), Immunoglobulin",Prescription Drug (RX)
193,"Measles, Mumps, Rubella and Varicella Vaccine (Live, 
Attenuated), Powder for Solution for Injection (S.C./1.M.), -",Prescription Drug (RX)
194,"Tetanus Toxoid, Suspension for Injection (S.C./I.M.), Vaccines",Prescription Drug (RX)
195,"Cholera Vaccine (inactivated, oral), Enteric-Coated Capsule, Vaccines",Prescription Drug (RX)
196,"Purified Rabies Vaccine (Vero Cell), Freeze -Dried Powder for Injection (IM/ID), Vaccine",Prescription Drug (RX)
197,"Human Normal Immunoglobulin(IGIV), Solution for IV Injection, Immuoglobulin",Prescription Drug (RX)
198,"Recombinant Human Thrombopoietin, Solution for Injection (S.C.), Colony-Stimulating Factors",Prescription Drug (Rx)
199,"Live Attenuated Rotavirus Vaccine, Oral Suspension, -",Prescription Drug (RX)
200,"Anti-Rabies Serum (Equine), Solution for Injection (IM/SC), -",Prescription Drug (Rx)
201,"HEPATITIS B VACCINE (RECOMBINANT DNA ), Suspension For Injection (IM), VACCINE",Prescription Drug (RX)
202,"Tocilizumab, Concentrate For Solution For I.V. Infusion, Interleukin Inhibitor",Prescription Drug (RX)
203,"Tocilizumab, Concentrate For Solution For I.V. Infusion, Interleukin Inhibitor",Prescription Drug (RX)
204,"Tocilizumab, Concentrate For Solution For I.V. Infusion, Interleukin Inhibitor",Prescription Drug (RX)
205,"Filgrastim, Solution for Injection (IV/SC), -",Prescription Drug (RX)
206,"Epoetin Alfa, Solution For Injection (IV/SC), -",Prescription Drug (RX)
207,"Epoetin Alfa, Solution For Injection (IV/SC), -",Prescription Drug (RX)
208,"Epoetin Alfa, Solution For Injection (IV/SC), -",Prescription Drug (RX)
209,"Recombinant Human Erythropoietin Alfa, Solution For IV Injection, -",Prescription Drug (RX)
210,"Human Normal Immunoglobulin (IVIg), Solution for Infusion (IV/SC), -",Prescription Drug (RX)
211,"Diphtheria and Tetanus Vaccine (Adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
212,"Somatropin, Lyophilized Powder for 
Injection (IM/SC), -",Prescription Drug (RX)
213,"Recombinant Hepatitis B Vaccine, Suspension for Injection (IM)-Thiomersal Free, Vaccine",Prescription Drug (Rx)
214,"Recombinant Hepatitis B Vaccine, Suspension for Injection, Vaccine",Prescription Drug (RX)
215,"Filgastrim, Solution For Iv/Sc Injection, -",Prescription Drug (RX)
216,"Human Albumin, Solution for Injection for IV Infusion, -",Prescription Drug (RX)
217,"Meningococcal (Groups A, 
Polysaccharide Diphtheria Toxoid Conjugate Vaccine, Solution For Im Injection, -",Prescription Drug (RX)
218,"Epoetin Alfa, Solution for Injection (IV/SC), Antianemic Preparations",Prescription Drug (RX)
219,"Epoetin Alfa (Recombinant Human Erythropoietin), Solution for Injection (IV/SC), -",Prescription Drug (RX)
220,"Epoetin alfa, Solution For Injection (IV/SC), -",Prescription Drug (RX)
221,"Albumin, Solution for Injection (IV), -",Prescription Drug (RX)
222,"Interferon Alfa-2B (Human), Solution For Injection (I.M./S.C.), Immunostimulant",Prescription Drug (RX)
223,"Interferon Alfa-2B (Human), Solution For Injection (I.M./S.C.), Immunostimulant",Prescription Drug (RX)
224,"Interferon Alfa-2B (Human), Solution For Injection (I.M./S.C.), Immunostimulant",Prescription Drug (RX)
225,"Interferon Beta-1A (Human), Solution for Injection (SC), -",Prescription Drug (RX)
226,"Interferon Beta-1A (Human), Solution For Injection (SC), -",Prescription Drug (RX)
227,"Rotavirus Vaccine (Live, Attenuated), Oral Suspension, -",Prescription Drug (RX)
228,"Filgrastim, Solution For Injection (IV/SC), Immunostimulant",Prescription Drug (RX)
229,"Epoetin Alfa, Solution For Injection (IV/SC), -",Prescription Drug (Rx)
230,"Human Papillomavirus Vaccine [Types 16 and 18] 
(Recombinant, adjuvanted, adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
231,"Hepatitis B Immunoglobulin (Human), Solution for Injection (IM), Immunoglobulins",Prescription Drug (Rx)
232,"Clostridium botulinum Type A Neurotoxin Complex, Lyophilized Powder for Injection (IM), Muscle Relaxant",Prescription Drug (RX)
233,"Enoxaparin (as Sodium), Solution For Injection (S.C.), -",Prescription Drug (RX)
234,"Enoxaparin Sodium, Solution for Injection (S.C.), Antithrombotic Agents",Prescription Drug (RX)
235,"Enoxaparin (as sodium), Solution For Injection (S.C.), -",Prescription Drug (RX)
236,"Factor VIII, Lyophilized Powder for Injection (IV), -",Prescription Drug (RX)
237,"Human Tetanus Immunoglobulin, Solution For Injection (IM), Immunoglobulin",Prescription Drug (RX)
238,"Tetanus Antitoxin (equine), Solution for Injection (IM), -",Prescription Drug (RX)
239,"Tetanus Antitoxin (equine), Solution For Injection (I.M), -",Prescription Drug (RX)
240,"Tetanus Antitoxin (equine), Solution For Injection (I.M), -",Prescription Drug (RX)
241,"Lutropin Alfa, Lyophilized Powder For Injection (SC), -",Prescription Drug (RX)
242,"Epoetin Alfa, Solution For Injection (IV/SC), -",Prescription Drug (RX)
243,"Diphtheria, Tetanus, Pertussis (Whole-Cell), Recombinant Hepatitis B, Haemophilus Influenzae Type B Combined Vaccine, Suspension for Injection (IM), Vaccine",Prescription Drug (Rx)
244,"Typhoid Polysaccharide Vaccine, Solution for Injection (IM), -",Prescription Drug (RX)
245,"Typhoid Polysaccharide Vaccine, Solution for Injection (IM), -",Prescription Drug (RX)
246,"Follitropin Alfa, Solution For Injection (SC), Recombinant Follicle Stimulating Hormone",Prescription Drug (RX)
247,"Gonal-F, Solution For Injection (Sc), -",Prescription Drug (RX)
248,"Follitropin Alfa, Solution For Injection (SC), -",Prescription Drug (RX)
249,"Denosumab, Solution For Injection (Sc), Monoclonal Antibodies [Other drugs affecting bone structure and mineralization]",Prescription Drug (RX)
250,"Measles and Rubella Vaccine (Live), Lyophilized Powder For Injection (S.C.), -",Prescription Drug (RX)
251,"Interferon-Beta 1B, Lyophilized powder for injection (SC), Immunostimulant",Prescription Drug (Rx)
252,"Bacillus Calmette-Guerin Vaccine (Live, Attenuated), Lyophilized Powder for Intravesical Instillation, -",Prescription Drug (RX)
253,"Recombinant Human Erythropoietin Alfa, Solution For Injection (I.V./S.C.), Hematopoietic Growth Factor",Prescription Drug (RX)
254,"Recombinant Human Erythropoietin Alfa, Solution For Injection (I.V./S.C.), Hematopoietic Growth Factor",Prescription Drug (RX)
255,"Human Rabies Immunoglobulin, Solution for Injection (IM), -",Prescription Drug (RX)
256,"Follitropin Alfa, Lyophilized Powder for Solution for Injection (S.C.), -",Prescription Drug (RX)
257,"Cholera Vaccine (Inactivated, Oral), Oral Suspension, -",Prescription Drug (RX)
258,"Live Measles, Mumps and Rubella Vaccine, Lyophilized Powder for Injection (IM/SC), -",Prescription Drug (RX)
259,"Somatropin, Solution For Injection (SC), -",Prescription Drug (RX)
260,"Somatropin, Solution For Injection (SC), -",Prescription Drug (RX)
261,"Recombinant Human Epidermal Growth Factor, Topical Solution (Spray), -",Prescription Drug (RX)
262,"Measles, Mumps and Rubella Vaccine (Live, Attenuated), Lyophilized Powder for Injection (SC), -",Prescription Drug (RX)
263,"Panitumumab, Concentrate for Solution for Infusion (IV), -",Prescription Drug (RX)
264,"Human Norml Immunoglobulin, Solution For Injection (Iv), Immunoglobulin",Prescription Drug (RX)
265,"Pneumococcal Conjugate Vaccine, 13-valent 
(adsorbed), Suspension for Injection (IM), -",Prescription Drug (RX)
266,"Golimumab, Solution For Injection (SC), -",Prescription Drug (RX)
267,"Enoxaparin Sodium, Solution For Injection (SC), Antithrombotic Agent",Prescription Drug (Rx)
