text,entities
My mom felt palpitations after taking Lamivudine + Ziduvodine.,"[(38, 61, 'DRUG'), (12, 24, 'ADE')]"
Patients often report insomnia after taking Betamethasone (as valerate).,"[(44, 71, 'DRUG'), (22, 30, 'ADE')]"
I noticed constipation symptoms after my dose of Vitamin B-Complex + Vitamin C.,"[(49, 78, 'DRUG'), (10, 22, 'ADE')]"
I experienced chills when I was prescribed BENZYL BENZOATE 25% LOTION.,"[(43, 69, 'DRUG'), (14, 20, 'ADE')]"
"Ever since I took Ondansetron (as hydrochloride dihydrate), I've had tremors.","[(18, 58, 'DRUG'), (69, 76, 'ADE')]"
I experienced anxiety when I was prescribed Methyl Salicylate + Menthol.,"[(44, 71, 'DRUG'), (14, 21, 'ADE')]"
She became nausea post-administration of Ferrous Sulfate Capsule + Vitamins B Complex + Vitamin C.,"[(41, 97, 'DRUG'), (11, 17, 'ADE')]"
I noticed anxiety symptoms after my dose of Grosartan.,"[(44, 53, 'DRUG'), (10, 17, 'ADE')]"
She became muscle pain post-administration of Imatinib (as Mesilate).,"[(46, 68, 'DRUG'), (11, 22, 'ADE')]"
"I noticed headache symptoms after my dose of Paracetamol + Phenylpropanolamine (as) 
hydrochloride) + Chlorphenamine maleate.","[(45, 125, 'DRUG'), (10, 18, 'ADE')]"
Tolnaftate/ Clioquinol/ Gentamicin (as sulfate)/Betamethasone (as valerate) made me feel dizzy for hours.,"[(0, 75, 'DRUG'), (89, 94, 'ADE')]"
Patients often report fever after taking Ezetimibe.,"[(41, 50, 'DRUG'), (22, 27, 'ADE')]"
My mom felt muscle pain after taking Clobazam.,"[(37, 45, 'DRUG'), (12, 23, 'ADE')]"
I noticed rash symptoms after my dose of Siltuximab.,"[(41, 51, 'DRUG'), (10, 14, 'ADE')]"
My mom felt headache after taking Warfarin Sodium ( as Clathrate).,"[(34, 65, 'DRUG'), (12, 20, 'ADE')]"
anxiety followed immediately after I took Live Attenuated Avian Infectious Bronchitis (IB) Vaccine (Vet.).,"[(42, 105, 'DRUG'), (0, 7, 'ADE')]"
"After using GLIBENCLAMIDE, I started to feel blurred vision.","[(12, 25, 'DRUG'), (45, 59, 'ADE')]"
Patients often report tremors after taking Ketamine.,"[(43, 51, 'DRUG'), (22, 29, 'ADE')]"
I noticed blurred vision symptoms after my dose of Flupentixol Decanoate.,"[(51, 72, 'DRUG'), (10, 24, 'ADE')]"
The doctor said rash is a side effect of Adapalene + Clindamycin (as Phosphate).,"[(41, 79, 'DRUG'), (16, 20, 'ADE')]"
My mom felt vomiting after taking Esmolol Hydrochloride.,"[(34, 55, 'DRUG'), (12, 20, 'ADE')]"
"Ever since I took Simethicone + Alverine citrate, I've had swelling.","[(18, 48, 'DRUG'), (59, 67, 'ADE')]"
I noticed shortness of breath symptoms after my dose of Piperacillin (As Sodium) + Tazobactam (As Sodium).,"[(56, 105, 'DRUG'), (10, 29, 'ADE')]"
I experienced swelling when I was prescribed Meropenem.,"[(45, 54, 'DRUG'), (14, 22, 'ADE')]"
I experienced rash when I was prescribed Sitagliptin + Metforinin Hydrochloride.,"[(41, 79, 'DRUG'), (14, 18, 'ADE')]"
The doctor said dry mouth is a side effect of Multivitamins + Buclizine Hydrochloride + Iron (As Ferrous Sulfate).,"[(46, 113, 'DRUG'), (16, 25, 'ADE')]"
She became dry mouth post-administration of Oxcarbazepine.,"[(44, 57, 'DRUG'), (11, 20, 'ADE')]"
"After using Turpentine oil, Capsicum oleoresin, Sanguis draconis (Daemonorops draco fruit), Methyl salicylate, I started to feel fever.","[(12, 109, 'DRUG'), (129, 134, 'ADE')]"
I noticed swelling symptoms after my dose of Inactivated Glaesserella parasuis Vaccine (Vet.).,"[(45, 93, 'DRUG'), (10, 18, 'ADE')]"
I noticed tremors symptoms after my dose of Ondansetron hydrochloride.,"[(44, 69, 'DRUG'), (10, 17, 'ADE')]"
Onglyza made me feel tremors for hours.,"[(0, 7, 'DRUG'), (21, 28, 'ADE')]"
"After using Hydrocortisone (as Sodium Succinate), I started to feel palpitations.","[(12, 48, 'DRUG'), (68, 80, 'ADE')]"
CEFTAZIDIME made me feel insomnia for hours.,"[(0, 11, 'DRUG'), (25, 33, 'ADE')]"
"After using Thiamine Monohydrate (Vitamin B1) + Pyridoxine 
Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin 
B12), I started to feel blurred vision.","[(12, 120, 'DRUG'), (140, 154, 'ADE')]"
"Ever since I took Glycol Salicylate + 1-Menthol + Tocopherol Acetate 
(Vitamin E) + Capsaicin (Capsicum Extract), I've had dry mouth.","[(18, 112, 'DRUG'), (123, 132, 'ADE')]"
"Ever since I took Strepsils, I've had chills.","[(18, 27, 'DRUG'), (38, 44, 'ADE')]"
tremors followed immediately after I took Warfarin Sodium (As Clathrate).,"[(42, 72, 'DRUG'), (0, 7, 'ADE')]"
The doctor said fatigue is a side effect of Dolutegravir (as sodium).,"[(44, 68, 'DRUG'), (16, 23, 'ADE')]"
"Ever since I took Mometasone Furoate (As monohydrate), I've had fatigue.","[(18, 53, 'DRUG'), (64, 71, 'ADE')]"
ISOFLURANE made me feel blurred vision for hours.,"[(0, 10, 'DRUG'), (24, 38, 'ADE')]"
I noticed anxiety symptoms after my dose of Chloroquine Diphosphate.,"[(44, 67, 'DRUG'), (10, 17, 'ADE')]"
The doctor said fever is a side effect of Homatropine Methylbromide.,"[(42, 67, 'DRUG'), (16, 21, 'ADE')]"
I experienced nausea when I was prescribed Dextrose 50%.,"[(43, 55, 'DRUG'), (14, 20, 'ADE')]"
She became vomiting post-administration of Amlodipine (as besilate) + Atorvastatin (as calcium).,"[(43, 95, 'DRUG'), (11, 19, 'ADE')]"
She became diarrhea post-administration of Menthol + Camphor + Methyl Salicylate + Eucalyptus Oil.,"[(43, 97, 'DRUG'), (11, 19, 'ADE')]"
"After using Prasugrel (as Hydrochloride), I started to feel fatigue.","[(12, 40, 'DRUG'), (60, 67, 'ADE')]"
palpitations followed immediately after I took MultiVitamins + Minerals.,"[(47, 71, 'DRUG'), (0, 12, 'ADE')]"
She became dry mouth post-administration of Methyl Salicylate + Menthol + Camphor + Eucalyptus Oil.,"[(44, 98, 'DRUG'), (11, 20, 'ADE')]"
Multivitamins + Iron (as Ferrous fumarate) made me feel constipation for hours.,"[(0, 42, 'DRUG'), (56, 68, 'ADE')]"
Salbutamol (as sulfate) + Ipratropium bromide made me feel headache for hours.,"[(0, 45, 'DRUG'), (59, 67, 'ADE')]"
Patients often report blurred vision after taking Dipyrimadole.,"[(50, 62, 'DRUG'), (22, 36, 'ADE')]"
I noticed dry mouth symptoms after my dose of Ascorbic Acid-Zinc.,"[(46, 64, 'DRUG'), (10, 19, 'ADE')]"
"I noticed fever symptoms after my dose of Inactivated Pseudorabies (Aujesky's Disease) Virus 
(ADV) Vaccine (Vet.).","[(42, 115, 'DRUG'), (10, 15, 'ADE')]"
Pinaverium Bromide made me feel rash for hours.,"[(0, 18, 'DRUG'), (32, 36, 'ADE')]"
Brimonidine Tartrate made me feel fever for hours.,"[(0, 20, 'DRUG'), (34, 39, 'ADE')]"
She became fatigue post-administration of NALBUPHINE HYDROCHLORIDE.,"[(42, 66, 'DRUG'), (11, 18, 'ADE')]"
"The doctor said shortness of breath is a side effect of Efavirenz + Emtricitabine + Tenofovir disoproxil (as 
fumarate).","[(56, 119, 'DRUG'), (16, 35, 'ADE')]"
My mom felt dry mouth after taking Aluminum Hydroxide + Magnesium Carbonate.,"[(35, 75, 'DRUG'), (12, 21, 'ADE')]"
She became diarrhea post-administration of Salicylic Acid/ Resorcin/ Phenol/ Glycerin/ Benzoin Tincture Lotion.,"[(43, 110, 'DRUG'), (11, 19, 'ADE')]"
She became vomiting post-administration of Fluorouracil.,"[(43, 55, 'DRUG'), (11, 19, 'ADE')]"
I experienced fatigue when I was prescribed Mefenamic Acid..,"[(44, 59, 'DRUG'), (14, 21, 'ADE')]"
Dobutamine  (As Hydrochloride) made me feel tremors for hours.,"[(0, 30, 'DRUG'), (44, 51, 'ADE')]"
"She became nausea post-administration of Thiamine Mononitrate (Vit. B1), Pyridoxine Hydrochloride (Vit. B6), Cyanocobalamin (Vit. B12).","[(41, 134, 'DRUG'), (11, 17, 'ADE')]"
diarrhea followed immediately after I took Gentamicin (as sulfate).,"[(43, 66, 'DRUG'), (0, 8, 'ADE')]"
My mom felt insomnia after taking Nitroglycerin.,"[(34, 47, 'DRUG'), (12, 20, 'ADE')]"
I experienced muscle pain when I was prescribed Multivitamins + Minerals + Panax ginseng C.A. Meyer (Korean Ginseng) + Royal Jelly.,"[(48, 130, 'DRUG'), (14, 25, 'ADE')]"
I experienced vomiting when I was prescribed Thiamine Mononitrate (Vitamin B1) + Pyridixime Hydrochloride (Vitamin B6)  + Cyanocobalamin (Vitamin B12).,"[(45, 150, 'DRUG'), (14, 22, 'ADE')]"
She became dry mouth post-administration of Tretinoin+Hydroquinone.,"[(44, 66, 'DRUG'), (11, 20, 'ADE')]"
"After using Cefixime (As Trihydrate), I started to feel palpitations.","[(12, 36, 'DRUG'), (56, 68, 'ADE')]"
I noticed constipation symptoms after my dose of Vitamin B-Complex + Iron + Lysine + Buclizine Hcl.,"[(49, 98, 'DRUG'), (10, 22, 'ADE')]"
"Ever since I took Thiamine HCl (Vitamin B1) + Pyridoxine HCl (Vitamin B6) + Cyanocobalamin (Vitamin B12), I've had blurred vision.","[(18, 104, 'DRUG'), (115, 129, 'ADE')]"
I noticed swelling symptoms after my dose of Sodium alginate + Sodium bicarbonate + Calcium carbonate.,"[(45, 101, 'DRUG'), (10, 18, 'ADE')]"
The doctor said fatigue is a side effect of Lidocaine + Benzethonium Chloride.,"[(44, 77, 'DRUG'), (16, 23, 'ADE')]"
She became anxiety post-administration of Bemiparin sodium.,"[(42, 58, 'DRUG'), (11, 18, 'ADE')]"
I noticed fever symptoms after my dose of CeeZinc.,"[(42, 49, 'DRUG'), (10, 15, 'ADE')]"
Fluticasone propionate + Salmeterol (as xinafoate) made me feel muscle pain for hours.,"[(0, 50, 'DRUG'), (64, 75, 'ADE')]"
"After using Peritoneal Dialysis Solution (Lactate-G 4.25%), I started to feel rash.","[(12, 58, 'DRUG'), (78, 82, 'ADE')]"
My mom felt insomnia after taking Paroxetine (as Hydrochloride).,"[(34, 63, 'DRUG'), (12, 20, 'ADE')]"
Patients often report headache after taking Eslicarbazepine (as acetate).,"[(44, 72, 'DRUG'), (22, 30, 'ADE')]"
Patients often report dry mouth after taking Salbutamol (as sulfate) + Ipratropium (as bromide).,"[(45, 95, 'DRUG'), (22, 31, 'ADE')]"
palpitations followed immediately after I took Paracetamol + Tramadol HCi.,"[(47, 73, 'DRUG'), (0, 12, 'ADE')]"
"Ever since I took Florfenicol (Vet.), I've had rash.","[(18, 36, 'DRUG'), (47, 51, 'ADE')]"
She became insomnia post-administration of Isoniazid + Pyridoxine Hydrochloride (Vitamin B6).,"[(43, 92, 'DRUG'), (11, 19, 'ADE')]"
"Ever since I took dl-Alpha Tocopheryl Acetate, I've had blurred vision.","[(18, 45, 'DRUG'), (56, 70, 'ADE')]"
"Ever since I took Perindopril Arginine / Indapamide, I've had fatigue.","[(18, 51, 'DRUG'), (62, 69, 'ADE')]"
Patients often report constipation after taking Metformin hydrochloride + Sitagliptin (as phosphate).,"[(48, 100, 'DRUG'), (22, 34, 'ADE')]"
"After using Arsenic Trioxide, I started to feel rash.","[(12, 28, 'DRUG'), (48, 52, 'ADE')]"
Patients often report vomiting after taking Cefpodoxime(As Proxetil).,"[(44, 68, 'DRUG'), (22, 30, 'ADE')]"
I noticed fatigue symptoms after my dose of ATORVASTATIN (AS CALCIUM).,"[(44, 69, 'DRUG'), (10, 17, 'ADE')]"
I noticed vomiting symptoms after my dose of Hidrosmin.,"[(45, 54, 'DRUG'), (10, 18, 'ADE')]"
"After using Sodium Citrate/Dextromethorphan Hydrobromide/Phenylpropanolamine Hydrochloride/Chlorphenamine Maleate, I started to feel nausea.","[(12, 113, 'DRUG'), (133, 139, 'ADE')]"
My mom felt anxiety after taking Ranitidine (as hydrochloride).,"[(33, 62, 'DRUG'), (12, 19, 'ADE')]"
"Ever since I took Iron + Vitamin B-Complex, I've had fever.","[(18, 42, 'DRUG'), (53, 58, 'ADE')]"
