text,entities
Manyahe nagrereklamo na kulang an hangin pag inom nu Micafungin Sodium.,"[(53, 70, 'DRUG'), (24, 40, 'ADE')]"
Na-experiensya ko an nagnginingisi pagkatapos nu Zinc Sulfate Monohydrate.,"[(49, 73, 'DRUG'), (21, 34, 'ADE')]"
Manyahe nagrereklamo na manuka pag inom nu Chlorhexidine Gluconate + Cetrimide.,"[(43, 78, 'DRUG'), (24, 30, 'ADE')]"
Manyahe nagrereklamo na natuyu an ngiwat pag inom nu Amlodipine (as besilate) + Atorvastatin (as calcium).,"[(53, 105, 'DRUG'), (24, 40, 'ADE')]"
"Pagkatapos ko gamiten an Teriparatide, nag-aramak nu kulang an hangin.","[(25, 37, 'DRUG'), (53, 69, 'ADE')]"
"Pagkatapos ko gamiten an CLOMIFENE CITRATE, nag-aramak nu madinayaw an kita.","[(25, 42, 'DRUG'), (58, 75, 'ADE')]"
"Pagkatapos ko gamiten an Cefepime hydrochloride, nag-aramak nu manlalabas.","[(25, 47, 'DRUG'), (63, 73, 'ADE')]"
Namayan ako nu manget an kalamnan pagkatapos inom ko nu Loxoprofen (as Sodium dihydrate).,"[(56, 88, 'DRUG'), (15, 33, 'ADE')]"
"Sabi da, manget an kalamnan nu epekto nu Diazepam.","[(41, 49, 'DRUG'), (9, 27, 'ADE')]"
"Sabi da, madilim magdiges nu epekto nu VITAMIN B - COMPLEX.","[(39, 58, 'DRUG'), (9, 25, 'ADE')]"
Manyahe nagrereklamo na madinayaw an kita pag inom nu ASCORBIC ACID.,"[(54, 67, 'DRUG'), (24, 41, 'ADE')]"
Namayan ako nu nagnginingisi pagkatapos inom ko nu Isophane Insulin (Recombinant DNA).,"[(51, 85, 'DRUG'), (15, 28, 'ADE')]"
"Dahil nu Bisoprolol Fumarate + Perindopril Arginine, nagkapwa ako nu namamaga.","[(9, 51, 'DRUG'), (69, 77, 'ADE')]"
"Nu matapos ko inom an Aluminum Hydroxie + Magnesium Hydroxide + Simethicone, napa-madin maturog ako.","[(22, 75, 'DRUG'), (82, 95, 'ADE')]"
"Dahil nu Cefuroxime (As Axetil) + Clavulanate Potassium, nagkapwa ako nu may sukar.","[(9, 55, 'DRUG'), (73, 82, 'ADE')]"
"Dahil nu Valaciclovir (As Hydrochloride), nagkapwa ako nu madin maturog.","[(9, 40, 'DRUG'), (58, 71, 'ADE')]"
"Dahil nu Measles, Mumps and Rubella Vaccine (Live, Attenuated), nagkapwa ako nu manlalabas.","[(9, 62, 'DRUG'), (80, 90, 'ADE')]"
Namayan ako nu nangayakay pagkatapos inom ko nu Trimetazdine Hydrochloride.,"[(48, 74, 'DRUG'), (15, 25, 'ADE')]"
Na-experiensya ko an may katikati pagkatapos nu Miconazole Nitrate.,"[(48, 66, 'DRUG'), (21, 33, 'ADE')]"
Namayan ako nu manlalabas pagkatapos inom ko nu Salbutamol (as Sulfate)+ Ipratropium Bromide.,"[(48, 92, 'DRUG'), (15, 25, 'ADE')]"
An manget an kalamnan ay epekto nu Rabeprazole Sodium.,"[(35, 53, 'DRUG'), (3, 21, 'ADE')]"
Naramdaman ko an manget ang ulu matapos gamitin an Gentamicin (As Sulfate) + Dexamethasone Phosphate (As Sodium Phosphate).,"[(51, 122, 'DRUG'), (17, 31, 'ADE')]"
"Sabi da, nangayakay nu epekto nu Amikacin (as sulfate).","[(33, 54, 'DRUG'), (9, 19, 'ADE')]"
"Si nanay may madinayaw an kita katapos inom na nu Moxifloxacin (as hydrochloride) + Dexamethasone 
phosphate (as sodium).","[(50, 121, 'DRUG'), (13, 30, 'ADE')]"
Naramdaman ko an nagnginingisi matapos gamitin an Prednisolone (As Acetate).,"[(50, 75, 'DRUG'), (17, 30, 'ADE')]"
"Pagkatapos ko gamiten an Iron (as Ferric Hydroxide Sucrose Complex), nag-aramak nu napapanes.","[(25, 67, 'DRUG'), (83, 92, 'ADE')]"
"Sabi da, madinayaw an kita nu epekto nu Troclosene Sodium.","[(40, 57, 'DRUG'), (9, 26, 'ADE')]"
Na-experiensya ko an natuyu an ngiwat pagkatapos nu Clonidine (as hydrochloride).,"[(52, 80, 'DRUG'), (21, 37, 'ADE')]"
Na-experiensya ko an nangangatal pagkatapos nu Clotrimazole + Clindamycin (as phosphate).,"[(47, 88, 'DRUG'), (21, 32, 'ADE')]"
"Dahil nu Polymyxin B Sulfate/ Neomycin Sulfate/ Dexamethasone, nagkapwa ako nu madilim magdiges.","[(9, 61, 'DRUG'), (79, 95, 'ADE')]"
An kulang an hangin ay epekto nu 70% Isopropyl Alcohol Solution Unscented.,"[(33, 73, 'DRUG'), (3, 19, 'ADE')]"
"Nu matapos ko inom an Dextromethorphan Hydrobromide + Guaifenesin + Phenylephrine Hydrochloride (Strawberry Flavor), napa-manlalabas ako.","[(22, 115, 'DRUG'), (122, 132, 'ADE')]"
Namayan ako nu madinayaw an kita pagkatapos inom ko nu Epirubicin (as hydrochloride).,"[(55, 84, 'DRUG'), (15, 32, 'ADE')]"
"Nu matapos ko inom an Loperamide Hydrchloride, napa-nagnginingisi ako.","[(22, 45, 'DRUG'), (52, 65, 'ADE')]"
"Sabi da, madinayaw an kita nu epekto nu Dextromethorphan Hydrobromide + Phenylephrine Hydrochloride.","[(40, 99, 'DRUG'), (9, 26, 'ADE')]"
"Pagkatapos ko gamiten an Piroxicam + Methyl Salicylate + Methol + Eugenol, nag-aramak nu madilim magdiges.","[(25, 73, 'DRUG'), (89, 105, 'ADE')]"
"Sabi da, manlalabas nu epekto nu Bortezomib.","[(33, 43, 'DRUG'), (9, 19, 'ADE')]"
An may sepu ay epekto nu Moxifloxacin (as Hydrochloride) + Dexamethasone Phosphate (as Sodium).,"[(25, 94, 'DRUG'), (3, 11, 'ADE')]"
Manyahe nagrereklamo na nanamayan pag inom nu Multivitamins (see reverse for formulation).,"[(46, 89, 'DRUG'), (24, 33, 'ADE')]"
Naramdaman ko an madilim magdiges matapos gamitin an Iron (as Ferrous sulfate).,"[(53, 78, 'DRUG'), (17, 33, 'ADE')]"
"Pagkatapos ko gamiten an Brolucizumab, nag-aramak nu madin maturog.","[(25, 37, 'DRUG'), (53, 66, 'ADE')]"
"Pagkatapos ko gamiten an Retinyl Palmitate (Vitamin A), nag-aramak nu namamaga.","[(25, 54, 'DRUG'), (70, 78, 'ADE')]"
Na-experiensya ko an may katikati pagkatapos nu Dobutamine.,"[(48, 58, 'DRUG'), (21, 33, 'ADE')]"
"Nu matapos ko inom an Paracetamol + Phenylephrine Hydrochloride, napa-kulang an hangin ako.","[(22, 63, 'DRUG'), (70, 86, 'ADE')]"
Si nanay may nangayakay katapos inom na nu Paracetamol + Propyphenazone + Anhydrous Caffeine.,"[(43, 92, 'DRUG'), (13, 23, 'ADE')]"
Naramdaman ko an nangayakay matapos gamitin an Mometasone (as Furoate).,"[(47, 70, 'DRUG'), (17, 27, 'ADE')]"
"Dahil nu Cromolyn Sodium, nagkapwa ako nu namamaga.","[(9, 24, 'DRUG'), (42, 50, 'ADE')]"
Si nanay may nagnginingisi katapos inom na nu Donepezil Hydrochloride.,"[(46, 69, 'DRUG'), (13, 26, 'ADE')]"
Naramdaman ko an madilim magdiges matapos gamitin an Salmeterol (as xinofoate)/Fluticasone propionate.,"[(53, 101, 'DRUG'), (17, 33, 'ADE')]"
Namayan ako nu nangayakay pagkatapos inom ko nu Adapalene + Clindamycin (as phosphate).,"[(48, 86, 'DRUG'), (15, 25, 'ADE')]"
"Dahil nu Amlodipine (as Besilate)+ Valsartan, nagkapwa ako nu manget ang ulu.","[(9, 44, 'DRUG'), (62, 76, 'ADE')]"
Naramdaman ko an natuyu an ngiwat matapos gamitin an THIAMINE MONONITRATE + PYRIDOXINE HYDROCHLORIDE + CYANOCOBALAMIN.,"[(53, 117, 'DRUG'), (17, 33, 'ADE')]"
An madin maturog ay epekto nu Multivitamins + Phospholipids.,"[(30, 59, 'DRUG'), (3, 16, 'ADE')]"
Manyahe nagrereklamo na manget ang ulu pag inom nu Progestogen.,"[(51, 62, 'DRUG'), (24, 38, 'ADE')]"
Naramdaman ko an nagnginingisi matapos gamitin an Lipid Emulsion + Amino Acid + Electrolytes + Glucose.,"[(50, 102, 'DRUG'), (17, 30, 'ADE')]"
Na-experiensya ko an manget ang ulu pagkatapos nu Theophylline.,"[(50, 62, 'DRUG'), (21, 35, 'ADE')]"
Na-experiensya ko an manget an kalamnan pagkatapos nu Ergotrix.,"[(54, 62, 'DRUG'), (21, 39, 'ADE')]"
Si nanay may napapanes katapos inom na nu Neomycin (As Sulfate) + Polymyxin B (As Sulfate) + Bacitracin.,"[(42, 103, 'DRUG'), (13, 22, 'ADE')]"
An madinayaw an tibok ay epekto nu Ephedrine Hydrochloride.,"[(35, 58, 'DRUG'), (3, 21, 'ADE')]"
Naramdaman ko an manuka matapos gamitin an Sterile Phosphate Buffered Saline (Vet.).,"[(43, 83, 'DRUG'), (17, 23, 'ADE')]"
"Dahil nu Clindamycin phosphate, nagkapwa ako nu may katikati.","[(9, 30, 'DRUG'), (48, 60, 'ADE')]"
Namayan ako nu napapanes pagkatapos inom ko nu Sambong Leaf (Blumea Balsamifera L.).,"[(47, 83, 'DRUG'), (15, 24, 'ADE')]"
An madinayaw an tibok ay epekto nu Levocetirizine (as Hydrochloride).,"[(35, 68, 'DRUG'), (3, 21, 'ADE')]"
An nanamayan ay epekto nu Clindamycin (as hydrochloride).,"[(26, 56, 'DRUG'), (3, 12, 'ADE')]"
An may katikati ay epekto nu Ferrous Sulfate Heptahydrate 200 Mg/5Ml Syrup.,"[(29, 74, 'DRUG'), (3, 15, 'ADE')]"
"Pagkatapos ko gamiten an Cefixime (As Trihydrate), nag-aramak nu kulang an hangin.","[(25, 49, 'DRUG'), (65, 81, 'ADE')]"
"Pagkatapos ko gamiten an Ferrous Sulfate + Folic Acid + Vitamin B -Complex, nag-aramak nu madinayaw an kita.","[(25, 74, 'DRUG'), (90, 107, 'ADE')]"
An madilim magdiges ay epekto nu Ascorbic Acid + Cholecalciferol (Vitamin D3) + Zinc.,"[(33, 84, 'DRUG'), (3, 19, 'ADE')]"
"Sabi da, manlalabas nu epekto nu Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B6)+ Cyanocobalamin
(Vitamin B12).","[(33, 137, 'DRUG'), (9, 19, 'ADE')]"
"Nu matapos ko inom an Lynestrenol, napa-madinayaw an tibok ako.","[(22, 33, 'DRUG'), (40, 58, 'ADE')]"
"An nangayakay ay epekto nu Moxifloxacin (as
Hydrochloride).","[(27, 58, 'DRUG'), (3, 13, 'ADE')]"
Manyahe nagrereklamo na namamaga pag inom nu Cloxacillin (as sodium).,"[(45, 68, 'DRUG'), (24, 32, 'ADE')]"
Namayan ako nu nangangatal pagkatapos inom ko nu Adapalene + Benzoyl Peroxide.,"[(49, 77, 'DRUG'), (15, 26, 'ADE')]"
Naramdaman ko an natuyu an ngiwat matapos gamitin an Esomep.,"[(53, 59, 'DRUG'), (17, 33, 'ADE')]"
Naramdaman ko an may sepu matapos gamitin an QUETIAPINE (AS FUMARATE).,"[(45, 69, 'DRUG'), (17, 25, 'ADE')]"
"Sabi da, may katikati nu epekto nu Prochlorpherazine maleate.","[(35, 60, 'DRUG'), (9, 21, 'ADE')]"
Namayan ako nu may katikati pagkatapos inom ko nu Sitagliptin (as phosphate monohydrate).,"[(50, 88, 'DRUG'), (15, 27, 'ADE')]"
"Dahil nu Dl-Alpha Tocopherol Acetate (Vitamin E), nagkapwa ako nu nangangatal.","[(9, 48, 'DRUG'), (66, 77, 'ADE')]"
Si nanay may madinayaw an tibok katapos inom na nu Streptokinase.,"[(51, 64, 'DRUG'), (13, 31, 'ADE')]"
"Nu matapos ko inom an Ketotifen (as hydrogen fumarate), napa-manlalabas ako.","[(22, 54, 'DRUG'), (61, 71, 'ADE')]"
Manyahe nagrereklamo na may sepu pag inom nu Exipine.,"[(45, 52, 'DRUG'), (24, 32, 'ADE')]"
Namayan ako nu may sukar pagkatapos inom ko nu Multivitamins + L-Lysine Hydrochloride.,"[(47, 85, 'DRUG'), (15, 24, 'ADE')]"
"Dahil nu Sodium Chloride, nagkapwa ako nu madilim magdiges.","[(9, 24, 'DRUG'), (42, 58, 'ADE')]"
"Pagkatapos ko gamiten an Piperacillin (As Sodium) + Tazobactam(As Sodium), nag-aramak nu napapanes.","[(25, 73, 'DRUG'), (89, 98, 'ADE')]"
"Dahil nu CEFOXITIN (as sodium) + Dextrose, nagkapwa ako nu may sukar.","[(9, 41, 'DRUG'), (59, 68, 'ADE')]"
Naramdaman ko an nangangatal matapos gamitin an Benzydamine(As Hydrochloride).,"[(48, 77, 'DRUG'), (17, 28, 'ADE')]"
"Pagkatapos ko gamiten an Sitagliptin (as phosphate monohydrate) + Metformin 
hydrochloride, nag-aramak nu may katikati.","[(25, 91, 'DRUG'), (107, 119, 'ADE')]"
Na-experiensya ko an natuyu an ngiwat pagkatapos nu None.,"[(52, 56, 'DRUG'), (21, 37, 'ADE')]"
"Nu matapos ko inom an Fluticasone furoate, napa-madinayaw an tibok ako.","[(22, 41, 'DRUG'), (48, 66, 'ADE')]"
Na-experiensya ko an madinayaw an tibok pagkatapos nu Ciprofloxacin.,"[(54, 67, 'DRUG'), (21, 39, 'ADE')]"
Si nanay may nanamayan katapos inom na nu Magnesium.,"[(42, 51, 'DRUG'), (13, 22, 'ADE')]"
"Sabi da, may sepu nu epekto nu Vitamin B-Complex (see reverse).","[(31, 62, 'DRUG'), (9, 17, 'ADE')]"
"Manyahe nagrereklamo na nangangatal pag inom nu Guaifenesin + Phenylpropanolamine Hydrochloride + 
Chlorphenamine Maleate.","[(48, 122, 'DRUG'), (24, 35, 'ADE')]"
Si nanay may nangangatal katapos inom na nu Meropenem (As trihydrate).,"[(44, 69, 'DRUG'), (13, 24, 'ADE')]"
An manget ang ulu ay epekto nu Betahistine (as hydrochloride).,"[(31, 61, 'DRUG'), (3, 17, 'ADE')]"
"Dahil nu Dexmedetomidine     (As Hydrochloride), nagkapwa ako nu may sepu.","[(9, 47, 'DRUG'), (65, 73, 'ADE')]"
Si nanay may nangayakay katapos inom na nu Metadoxine.,"[(43, 53, 'DRUG'), (13, 23, 'ADE')]"
"Dahil nu Betamethasone (dipropionate) / Gentamicin (as sulfate), nagkapwa ako nu may sepu.","[(9, 63, 'DRUG'), (81, 89, 'ADE')]"
"Pagkatapos ko gamiten an DL-Alpha-Tocopherol (Vitamin E), nag-aramak nu madin maturog.","[(25, 56, 'DRUG'), (72, 85, 'ADE')]"
"Nu matapos ko inom an Rifampicin; Isoniazid + Pyridoxine Hydrochloride, napa-kulang an hangin ako.","[(22, 70, 'DRUG'), (77, 93, 'ADE')]"
An natuyu an ngiwat ay epekto nu Candesartan cilexetil + Hydrochlorothiazide.,"[(33, 76, 'DRUG'), (3, 19, 'ADE')]"
Naramdaman ko an may sukar matapos gamitin an Lysozyme hydrochloride.,"[(46, 68, 'DRUG'), (17, 26, 'ADE')]"
"Nu matapos ko inom an Azithromycin, napa-napapanes ako.","[(22, 34, 'DRUG'), (41, 50, 'ADE')]"
Naramdaman ko an manget an kalamnan matapos gamitin an Ofloxacin (as hydrochloride).,"[(55, 83, 'DRUG'), (17, 35, 'ADE')]"
Na-experiensya ko an napapanes pagkatapos nu Dobutamine Hydrochloride.,"[(45, 69, 'DRUG'), (21, 30, 'ADE')]"
Si nanay may may sepu katapos inom na nu Cetrorelix (as Acetate).,"[(41, 64, 'DRUG'), (13, 21, 'ADE')]"
Namayan ako nu madin maturog pagkatapos inom ko nu Cebo De Macho.,"[(51, 64, 'DRUG'), (15, 28, 'ADE')]"
"Sabi da, nangayakay nu epekto nu Ibuprofen + Paracetamol.","[(33, 56, 'DRUG'), (9, 19, 'ADE')]"
"Sabi da, may katikati nu epekto nu Levamlodipine (as Besilate).","[(35, 62, 'DRUG'), (9, 21, 'ADE')]"
Namayan ako nu napapanes pagkatapos inom ko nu Multivitamins + Minerals + Deanol + Royal Jelly + Korean Panax Ginseng.,"[(47, 117, 'DRUG'), (15, 24, 'ADE')]"
"Nu matapos ko inom an Verapamil Hydrochloride/ Trandolapril, napa-nanamayan ako.","[(22, 59, 'DRUG'), (66, 75, 'ADE')]"
Na-experiensya ko an madilim magdiges pagkatapos nu Ofloxacin + Dexamethasone.,"[(52, 77, 'DRUG'), (21, 37, 'ADE')]"
Na-experiensya ko an manuka pagkatapos nu Multivitamins / Minerals / Lysine / Inositol (See reverse).,"[(42, 100, 'DRUG'), (21, 27, 'ADE')]"
Naramdaman ko an nagnginingisi matapos gamitin an Vitamin B1 + Be + B12.,"[(50, 71, 'DRUG'), (17, 30, 'ADE')]"
Manyahe nagrereklamo na may sepu pag inom nu Fluoxetine (as hydrochloride).,"[(45, 74, 'DRUG'), (24, 32, 'ADE')]"
"Nu matapos ko inom an Sodium Alginate+ Sodium Bicarbonate + Calcium Carbonate, napa-natuyu an ngiwat ako.","[(22, 77, 'DRUG'), (84, 100, 'ADE')]"
"Dahil nu Chloramphenicol (As Sodium Succinate), nagkapwa ako nu manget ang ulu.","[(9, 46, 'DRUG'), (64, 78, 'ADE')]"
"Dahil nu Atorvastatin (as calcium trihydrate), nagkapwa ako nu manuka.","[(9, 45, 'DRUG'), (63, 69, 'ADE')]"
"Nu matapos ko inom an Follitropin Alfa, napa-may sukar ako.","[(22, 38, 'DRUG'), (45, 54, 'ADE')]"
Naramdaman ko an nangangatal matapos gamitin an Phenylpropanolamine Hydrochloride + Paracetamol + Chlorphenamine Maleate + Salicylamide.,"[(48, 135, 'DRUG'), (17, 28, 'ADE')]"
Si nanay may manget ang ulu katapos inom na nu Ioversol.,"[(47, 55, 'DRUG'), (13, 27, 'ADE')]"
Na-experiensya ko an may sepu pagkatapos nu Sitagliptin (as phosphate monohydrate) + Metformin Hydrochlorid.,"[(44, 107, 'DRUG'), (21, 29, 'ADE')]"
Na-experiensya ko an manget an kalamnan pagkatapos nu Zolpidem Tartrate.,"[(54, 71, 'DRUG'), (21, 39, 'ADE')]"
Manyahe nagrereklamo na kulang an hangin pag inom nu Terazosin (as hydrochloride).,"[(53, 81, 'DRUG'), (24, 40, 'ADE')]"
"Sabi da, may sepu nu epekto nu Vitamin B1+ B6+ B12.","[(31, 50, 'DRUG'), (9, 17, 'ADE')]"
"Dahil nu Multivitamins + Minerals + Chorella Growth Factor
(CGF), nagkapwa ako nu manlalabas.","[(9, 65, 'DRUG'), (83, 93, 'ADE')]"
"Pagkatapos ko gamiten an Dexamethasone Phosphate(As Sodium), nag-aramak nu nagnginingisi.","[(25, 59, 'DRUG'), (75, 88, 'ADE')]"
Naramdaman ko an manget an kalamnan matapos gamitin an Menthol + Camphor + Borneol + Eucalyptus Oil.,"[(55, 99, 'DRUG'), (17, 35, 'ADE')]"
Si nanay may nagnginingisi katapos inom na nu Paracetamol (Orange Flavor).,"[(46, 73, 'DRUG'), (13, 26, 'ADE')]"
Namayan ako nu madilim magdiges pagkatapos inom ko nu Insulin Degludec + Liraglutide.,"[(54, 84, 'DRUG'), (15, 31, 'ADE')]"
Namayan ako nu may sukar pagkatapos inom ko nu Zinaf-500.,"[(47, 56, 'DRUG'), (15, 24, 'ADE')]"
An kulang an hangin ay epekto nu Telmisartan + Amlodipine (As Besylate).,"[(33, 71, 'DRUG'), (3, 19, 'ADE')]"
"Sabi da, kulang an hangin nu epekto nu Metronidazole.","[(39, 52, 'DRUG'), (9, 25, 'ADE')]"
Na-experiensya ko an may sepu pagkatapos nu LOPERAMIDE HYDROHLORIDE.,"[(44, 67, 'DRUG'), (21, 29, 'ADE')]"
"Na-experiensya ko an madinayaw an tibok pagkatapos nu Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B 
(IDNA) and Haemophilus influenzae Type B Conjugate 
Vaccine (Adsorbed).","[(54, 184, 'DRUG'), (21, 39, 'ADE')]"
An madilim magdiges ay epekto nu Salbutamol (as Sulfate)+ Ipratropium Bromide.,"[(33, 77, 'DRUG'), (3, 19, 'ADE')]"
"Dahil nu Live Infectious Bursal Disease (IBD) Virus Vaccine (Vet.), nagkapwa ako nu may sukar.","[(9, 66, 'DRUG'), (84, 93, 'ADE')]"
Si nanay may napapanes katapos inom na nu Paracetamol + Tramadol Hydrochloride.,"[(42, 78, 'DRUG'), (13, 22, 'ADE')]"
"Dahil nu Fluocinolone Acetonide/Neomycin Sulfate, nagkapwa ako nu natuyu an ngiwat.","[(9, 48, 'DRUG'), (66, 82, 'ADE')]"
Na-experiensya ko an manuka pagkatapos nu Phenytoin sodium.,"[(42, 58, 'DRUG'), (21, 27, 'ADE')]"
"Pagkatapos ko gamiten an Lidocaine hydrochloride, nag-aramak nu nangangatal.","[(25, 48, 'DRUG'), (64, 75, 'ADE')]"
"Nu matapos ko inom an Human Papillomavirus Vaccine [Types 16 and 18] 
(Recombinant, adjuvanted, adsorbed), napa-madinayaw an tibok ako.","[(22, 105, 'DRUG'), (112, 130, 'ADE')]"
"Dahil nu Salbugen Plus, nagkapwa ako nu may sepu.","[(9, 22, 'DRUG'), (40, 48, 'ADE')]"
Naramdaman ko an nagnginingisi matapos gamitin an Valaciclovir (As Hydrochloride).,"[(50, 81, 'DRUG'), (17, 30, 'ADE')]"
Manyahe nagrereklamo na may katikati pag inom nu Idarubicin hydrochloride.,"[(49, 73, 'DRUG'), (24, 36, 'ADE')]"
Naramdaman ko an natuyu an ngiwat matapos gamitin an Methylcobalamine.,"[(53, 69, 'DRUG'), (17, 33, 'ADE')]"
"Pagkatapos ko gamiten an Multivitamins + Lysine HCl + Buclizine HCl, nag-aramak nu natuyu an ngiwat.","[(25, 67, 'DRUG'), (83, 99, 'ADE')]"
Manyahe nagrereklamo na madilim magdiges pag inom nu Hypromellos.,"[(53, 64, 'DRUG'), (24, 40, 'ADE')]"
An madin maturog ay epekto nu Cefuroxime(Axetil).,"[(30, 48, 'DRUG'), (3, 16, 'ADE')]"
"Dahil nu TOBRAMYCIN + DEXAMETHASONE (AS SODIUM PHOSPHATE), nagkapwa ako nu manget ang ulu.","[(9, 57, 'DRUG'), (75, 89, 'ADE')]"
"Pagkatapos ko gamiten an Loperamide hydrochloride, nag-aramak nu madilim magdiges.","[(25, 49, 'DRUG'), (65, 81, 'ADE')]"
"Namayan ako nu may katikati pagkatapos inom ko nu Pneumococcal Polysaccharide Conjugate Vaccine 
(Adsorbed) (10-valent).","[(50, 119, 'DRUG'), (15, 27, 'ADE')]"
Si nanay may manget ang ulu katapos inom na nu Acalabrutinib.,"[(47, 60, 'DRUG'), (13, 27, 'ADE')]"
Naramdaman ko an may katikati matapos gamitin an Tenofovir Alafenamide (as fumarate).,"[(49, 84, 'DRUG'), (17, 29, 'ADE')]"
Si nanay may namamaga katapos inom na nu dl-a-Tocopherol Acetate (Vet.).,"[(41, 71, 'DRUG'), (13, 21, 'ADE')]"
"Nu matapos ko inom an 5% Dextrose in Lactated Ringer's Solution, napa-may sukar ako.","[(22, 63, 'DRUG'), (70, 79, 'ADE')]"
Namayan ako nu may sukar pagkatapos inom ko nu Pioglitazone.,"[(47, 59, 'DRUG'), (15, 24, 'ADE')]"
Na-experiensya ko an natuyu an ngiwat pagkatapos nu Furosemide + Potassium chloride.,"[(52, 83, 'DRUG'), (21, 37, 'ADE')]"
"Nu matapos ko inom an Thiamine Mononitrate (Vit B1) + Pyridoxine HCl (Vit. B6) + Cyanocobalamin (Vit. B12), napa-kulang an hangin ako.","[(22, 106, 'DRUG'), (113, 129, 'ADE')]"
Manyahe nagrereklamo na may katikati pag inom nu Colecalciferol (Vitamin D3) + Calcium.,"[(49, 86, 'DRUG'), (24, 36, 'ADE')]"
"Dahil nu Amiodarone (As Hydrochloride), nagkapwa ako nu natuyu an ngiwat.","[(9, 38, 'DRUG'), (56, 72, 'ADE')]"
Manyahe nagrereklamo na may sukar pag inom nu Salbutamol (as Sulfate) + Bromhexine Hydrochloride + Guaifenesin.,"[(46, 110, 'DRUG'), (24, 33, 'ADE')]"
Na-experiensya ko an manget ang ulu pagkatapos nu ASCORBIC ACID + ZINC.,"[(50, 70, 'DRUG'), (21, 35, 'ADE')]"
"Sabi da, nangangatal nu epekto nu Cefalexin Monohydrate.","[(34, 55, 'DRUG'), (9, 20, 'ADE')]"
Si nanay may may sepu katapos inom na nu Fludarabine (as phosphate).,"[(41, 67, 'DRUG'), (13, 21, 'ADE')]"
An madinayaw an kita ay epekto nu Multivitamins + Buclizine hydrochloride + Lysine hydrochloride.,"[(34, 96, 'DRUG'), (3, 20, 'ADE')]"
"Sabi da, natuyu an ngiwat nu epekto nu Pravastatin (as Sodium).","[(39, 62, 'DRUG'), (9, 25, 'ADE')]"
Na-experiensya ko an madinayaw an tibok pagkatapos nu Amlodipine (as besylate).,"[(54, 78, 'DRUG'), (21, 39, 'ADE')]"
Na-experiensya ko an nangangatal pagkatapos nu Oxacillin (as sodium).,"[(47, 68, 'DRUG'), (21, 32, 'ADE')]"
"Sabi da, kulang an hangin nu epekto nu Pioglitazone (as Hydrochloride).","[(39, 70, 'DRUG'), (9, 25, 'ADE')]"
Namayan ako nu madin maturog pagkatapos inom ko nu Hyoscine Butylbromide.,"[(51, 72, 'DRUG'), (15, 28, 'ADE')]"
"Pagkatapos ko gamiten an Folinic acid (as calcium folinate), nag-aramak nu manuka.","[(25, 59, 'DRUG'), (75, 81, 'ADE')]"
"Nu matapos ko inom an DOXYCYCLINE (AS HYCLATE), napa-madinayaw an kita ako.","[(22, 46, 'DRUG'), (53, 70, 'ADE')]"
Si nanay may manget ang ulu katapos inom na nu Dulcolax.,"[(47, 55, 'DRUG'), (13, 27, 'ADE')]"
