text,entities,lang
nagtatae ang naramdaman ko matapos ang HEPARIN SODIUM.,"[(39, 53, 'DRUG'), (0, 8, 'ADE')]",filipino
Nagka-malabo ang paningin ako matapos gamitin ang Linagliptin + Metformin Hydrochloride.,"[(50, 87, 'DRUG'), (6, 25, 'ADE')]",filipino
"Pagkatapos uminom ng Lauromacrogol 400 + Hydrocortisone Acetate, ako'y naging nanghina.","[(21, 63, 'DRUG'), (78, 86, 'ADE')]",filipino
Nagka-sumakit ang ulo ako matapos gamitin ang Esomeprazole(As Sodium).,"[(46, 69, 'DRUG'), (6, 21, 'ADE')]",filipino
"Simula nang ininom ko ang Cefotaxime (As sodium), palagi akong nabalisa.","[(26, 48, 'DRUG'), (63, 71, 'ADE')]",filipino
Nakaramdam ako ng namaga matapos uminom ng Cholecalciferol (Vitamin D3)+ Minerals.,"[(43, 81, 'DRUG'), (18, 24, 'ADE')]",filipino
"Dahil sa Terazosin (as Hydrochloride Dihydrate), ako ay nakaramdam ng malabo ang paningin.","[(9, 47, 'DRUG'), (70, 89, 'ADE')]",filipino
"Pagkatapos uminom ng Cefuroxime (as sodium) with Sterile Water for Injection, ako'y naging nabalisa.","[(21, 76, 'DRUG'), (91, 99, 'ADE')]",filipino
"Pagkatapos uminom ng Choline Salicylate + Benzalkonium Chloride, ako'y naging hindi makadumi.","[(21, 63, 'DRUG'), (78, 92, 'ADE')]",filipino
Ang malabo ang paningin ay isang epekto ng BENZYL BENZOATE 25% LOTION sabi ng doktor.,"[(43, 69, 'DRUG'), (4, 23, 'ADE')]",filipino
Si nanay ay nakaranas ng sumakit ang kalamnan pagkatapos uminom ng Hypertonic Lactate Solution.,"[(67, 94, 'DRUG'), (25, 45, 'ADE')]",filipino
"Dahil sa Multivitamin, ako ay nakaramdam ng nagkapantal.","[(9, 21, 'DRUG'), (44, 55, 'ADE')]",filipino
Ang nanginginig ay isang epekto ng Digoxin sabi ng doktor.,"[(35, 42, 'DRUG'), (4, 15, 'ADE')]",filipino
"Simula nang ininom ko ang Rifampicin + Isoniazid + Pyrazinamide+ Ethambutol, palagi akong nanghina.","[(26, 75, 'DRUG'), (90, 98, 'ADE')]",filipino
"Dahil sa lmatinib (as mesilate), ako ay nakaramdam ng hindi makadumi.","[(9, 31, 'DRUG'), (54, 68, 'ADE')]",filipino
"Simula nang ininom ko ang Robitussin PS, palagi akong nagsuka.","[(26, 39, 'DRUG'), (54, 61, 'ADE')]",filipino
"Simula nang ininom ko ang Cefazolin (as sodium), palagi akong nahilo.","[(26, 47, 'DRUG'), (62, 68, 'ADE')]",filipino
Nakaramdam ako ng sumakit ang ulo matapos uminom ng Multivitamins + Iron + Lysine Hydrochloride.,"[(52, 95, 'DRUG'), (18, 33, 'ADE')]",filipino
Nakaramdam ako ng nagsuka matapos uminom ng Ceftriaxone (As Sodium) + Sulbactam (As Sodium).,"[(44, 91, 'DRUG'), (18, 25, 'ADE')]",filipino
Ang sumakit ang kalamnan ay isang epekto ng Hyoscine-N-Butyl-Bromide sabi ng doktor.,"[(44, 68, 'DRUG'), (4, 24, 'ADE')]",filipino
Marami ang nagsabing nasusuka ang epekto ng Calcium + Cholecalciferol.,"[(44, 69, 'DRUG'), (21, 29, 'ADE')]",filipino
"Pagkatapos uminom ng Thiamine monitrate (Vitamin B1) + Pyridoxine hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12), ako'y naging nabalisa.","[(21, 123, 'DRUG'), (138, 146, 'ADE')]",filipino
Naranasan ko ang hindi makatulog pagkatapos kong inumin ang Abrocitinib.,"[(60, 71, 'DRUG'), (17, 32, 'ADE')]",filipino
Naranasan ko ang nilagnat pagkatapos kong inumin ang Meclizine.,"[(53, 62, 'DRUG'), (17, 25, 'ADE')]",filipino
Ang hindi makatulog ay isang epekto ng Atomoxetine (as hydrochloride) sabi ng doktor.,"[(39, 69, 'DRUG'), (4, 19, 'ADE')]",filipino
Si nanay ay nakaranas ng nagtatae pagkatapos uminom ng Roximed.,"[(55, 62, 'DRUG'), (25, 33, 'ADE')]",filipino
Nakaramdam ako ng namaga matapos uminom ng Ascorbic acid + Zinc + Panax ginseng L. (Korean Ginseng Root).,"[(43, 104, 'DRUG'), (18, 24, 'ADE')]",filipino
"Pagkatapos uminom ng SALBUTAMOL (as sulfate) + GUAIFENESIN, ako'y naging nagkapantal.","[(21, 58, 'DRUG'), (73, 84, 'ADE')]",filipino
Nagka-natuyo ang bibig ako matapos gamitin ang Atorvastatin (as calcium propylene glycol solvate).,"[(47, 97, 'DRUG'), (6, 22, 'ADE')]",filipino
"Nagka-hindi makadumi ako matapos gamitin ang Zinc Oxide + Myroxylon balsamum var. pereirae 
(Royle) Harms (Balsam of Peru) Resin + Benzyl 
Benzoate.","[(45, 149, 'DRUG'), (6, 20, 'ADE')]",filipino
"Nagka-hindi makadumi ako matapos gamitin ang Methyl Salicylate + Menthol + Eucalyptus Oil + 
Camphor/ Menthol + Camphor.","[(45, 120, 'DRUG'), (6, 20, 'ADE')]",filipino
Naranasan ko ang nanghina pagkatapos kong inumin ang 5% Dextrose in Water.,"[(53, 73, 'DRUG'), (17, 25, 'ADE')]",filipino
"Pagkatapos uminom ng Telmisartan + Amlodipine Besilate, ako'y naging nanginginig.","[(21, 54, 'DRUG'), (69, 80, 'ADE')]",filipino
nabalisa ang naramdaman ko matapos ang Vitamin E.,"[(39, 48, 'DRUG'), (0, 8, 'ADE')]",filipino
Ang nahilo ay isang epekto ng Cimicifuga Racemosa L (Black Cohosh Root &amp; Rhizome) sabi ng doktor.,"[(30, 85, 'DRUG'), (4, 10, 'ADE')]",filipino
Naranasan ko ang nanghina pagkatapos kong inumin ang Bupivacaine Hydrochloride.,"[(53, 78, 'DRUG'), (17, 25, 'ADE')]",filipino
Nagka-nilagnat ako matapos gamitin ang Chlorhexidine (as gluconate).,"[(39, 67, 'DRUG'), (6, 14, 'ADE')]",filipino
Ang hindi makadumi ay isang epekto ng 70% Isopropyl Alcohol Solution Unscented sabi ng doktor.,"[(38, 78, 'DRUG'), (4, 18, 'ADE')]",filipino
Marami ang nagsabing nagsuka ang epekto ng Medical Grade Oxygen.,"[(43, 63, 'DRUG'), (21, 28, 'ADE')]",filipino
"Dahil sa Cetirizine  (as Dihydrochloride ), ako ay nakaramdam ng natuyo ang bibig.","[(9, 42, 'DRUG'), (65, 81, 'ADE')]",filipino
Marami ang nagsabing natuyo ang bibig ang epekto ng Duloxetine Hydrochloride.,"[(52, 76, 'DRUG'), (21, 37, 'ADE')]",filipino
"Simula nang ininom ko ang Ranitidine (as hydrochloride), palagi akong nagtatae.","[(26, 55, 'DRUG'), (70, 78, 'ADE')]",filipino
"nagsuka ang naramdaman ko matapos ang Methyl Salicylate + Camphor + Menthol + Mentha x 
piperita + + Syzygium aromaticum.","[(38, 121, 'DRUG'), (0, 7, 'ADE')]",filipino
Si nanay ay nakaranas ng hindi makadumi pagkatapos uminom ng Vitex Negundo L. (Lagundi Leaf).,"[(61, 92, 'DRUG'), (25, 39, 'ADE')]",filipino
Nakaramdam ako ng nilamig matapos uminom ng Dextromethorphan Hydrobromide +  Guaifenesin + Sodium Citrate + Phenylpropanolamine Hydrochloride.,"[(44, 141, 'DRUG'), (18, 25, 'ADE')]",filipino
"Pagkatapos uminom ng Latanoprost + Timolol (as maleate), ako'y naging sumakit ang kalamnan.","[(21, 55, 'DRUG'), (70, 90, 'ADE')]",filipino
Ang hindi makadumi ay isang epekto ng Flucloxacillin sabi ng doktor.,"[(38, 52, 'DRUG'), (4, 18, 'ADE')]",filipino
"Simula nang ininom ko ang Atorvastatin (As Calcium) + Fenofibrate, palagi akong hindi makatulog.","[(26, 65, 'DRUG'), (80, 95, 'ADE')]",filipino
"kinabahan ang naramdaman ko matapos ang Losartan potassium + Rosuvastatin (as calcium) 
Amlodipine (as camsilate).","[(40, 113, 'DRUG'), (0, 9, 'ADE')]",filipino
Naranasan ko ang malabo ang paningin pagkatapos kong inumin ang Nitrogylcerin.,"[(64, 77, 'DRUG'), (17, 36, 'ADE')]",filipino
Nakaramdam ako ng nahilo matapos uminom ng Dequalinium chloride.,"[(43, 63, 'DRUG'), (18, 24, 'ADE')]",filipino
nahirapang huminga ang naramdaman ko matapos ang Fluocinolone Acetonide + Polymyxin B Sulfate + Neomycin (as Sulfate).,"[(49, 117, 'DRUG'), (0, 18, 'ADE')]",filipino
Nagka-sumakit ang kalamnan ako matapos gamitin ang Betamethasone (as Valerate).,"[(51, 78, 'DRUG'), (6, 26, 'ADE')]",filipino
"Dahil sa Vitex Negundo L.
(Lagundi) Leaves, ako ay nakaramdam ng nilamig.","[(9, 42, 'DRUG'), (65, 72, 'ADE')]",filipino
Si nanay ay nakaranas ng hindi makadumi pagkatapos uminom ng Solifenacin (as succinate).,"[(61, 87, 'DRUG'), (25, 39, 'ADE')]",filipino
"Dahil sa Piperacillin (as sodium) + Tazolactam (as sodium), ako ay nakaramdam ng hindi makadumi.","[(9, 58, 'DRUG'), (81, 95, 'ADE')]",filipino
Si nanay ay nakaranas ng sumakit ang kalamnan pagkatapos uminom ng Daclastavir Dihydrochloride.,"[(67, 94, 'DRUG'), (25, 45, 'ADE')]",filipino
"Naranasan ko ang kinabahan pagkatapos kong inumin ang Vitex Negundo L.
(Lagundi) Leaves.","[(54, 87, 'DRUG'), (17, 26, 'ADE')]",filipino
Nakaramdam ako ng malabo ang paningin matapos uminom ng Tazobet.,"[(56, 63, 'DRUG'), (18, 37, 'ADE')]",filipino
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng Fluorescein (As Sodium).,"[(58, 81, 'DRUG'), (25, 36, 'ADE')]",filipino
Si nanay ay nakaranas ng nanghina pagkatapos uminom ng Gliclazide.,"[(55, 65, 'DRUG'), (25, 33, 'ADE')]",filipino
Marami ang nagsabing hindi makadumi ang epekto ng Lapatinib (as ditosylate monohydrate).,"[(50, 87, 'DRUG'), (21, 35, 'ADE')]",filipino
Ang nasusuka ay isang epekto ng Oral Rehydration Salts sabi ng doktor.,"[(32, 54, 'DRUG'), (4, 12, 'ADE')]",filipino
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng CALCIUM + CHOLECALCIFEROL (VITAMIN D3).,"[(58, 96, 'DRUG'), (25, 36, 'ADE')]",filipino
Ang nabalisa ay isang epekto ng SALICYLIC ACID sabi ng doktor.,"[(32, 46, 'DRUG'), (4, 12, 'ADE')]",filipino
Nakaramdam ako ng nanghina matapos uminom ng SALBUTAMOL (as sulfate) + GUAIFENESIN.,"[(45, 82, 'DRUG'), (18, 26, 'ADE')]",filipino
nagsuka ang naramdaman ko matapos ang Iopromide.,"[(38, 47, 'DRUG'), (0, 7, 'ADE')]",filipino
"Simula nang ininom ko ang Fentanyl (as citrate) [Fentanyl Citrate 628 mcg equivalent to Fentanyl base 400 mcg], palagi akong sumakit ang kalamnan.","[(26, 110, 'DRUG'), (125, 145, 'ADE')]",filipino
"Nagka-nilagnat ako matapos gamitin ang Flucloxacillin 
(As Sodium).","[(39, 67, 'DRUG'), (6, 14, 'ADE')]",filipino
Ang nilagnat ay isang epekto ng Tibolone sabi ng doktor.,"[(32, 40, 'DRUG'), (4, 12, 'ADE')]",filipino
"Simula nang ininom ko ang Hyoscine Butylbromide, palagi akong malabo ang paningin.","[(26, 47, 'DRUG'), (62, 81, 'ADE')]",filipino
sumakit ang ulo ang naramdaman ko matapos ang Ascorbic acid + Zinc (as gluconate).,"[(46, 81, 'DRUG'), (0, 15, 'ADE')]",filipino
Naranasan ko ang nanginginig pagkatapos kong inumin ang CLOPIDOGREL.,"[(56, 67, 'DRUG'), (17, 28, 'ADE')]",filipino
"Dahil sa VALSARTAN + AMLODIPINE  (as besilate), ako ay nakaramdam ng nasusuka.","[(9, 46, 'DRUG'), (69, 77, 'ADE')]",filipino
"Marami ang nagsabing sumakit ang ulo ang epekto ng Cineole + Eucalyptus + Menthol + Camphor + 
Rosemary Oil.","[(51, 108, 'DRUG'), (21, 36, 'ADE')]",filipino
nahirapang huminga ang naramdaman ko matapos ang Doxycycline (as Hydrochloride).,"[(49, 79, 'DRUG'), (0, 18, 'ADE')]",filipino
"Nakaramdam ako ng hindi makatulog matapos uminom ng Rifampicin + Isoniazid + Pyrazinamide + Ethambutol 
hydrochloride.","[(52, 118, 'DRUG'), (18, 33, 'ADE')]",filipino
"Pagkatapos uminom ng Phyllanthus niruri L., ako'y naging nagkapantal.","[(21, 42, 'DRUG'), (57, 68, 'ADE')]",filipino
Nakaramdam ako ng nagsuka matapos uminom ng Oxymetazoline Hydrochloride.,"[(44, 71, 'DRUG'), (18, 25, 'ADE')]",filipino
nahirapang huminga ang naramdaman ko matapos ang Levothyroxine (as Sodium).,"[(49, 74, 'DRUG'), (0, 18, 'ADE')]",filipino
"Pagkatapos uminom ng Phenylephrine Hydrochloride + Paracetamol + Zinc, ako'y naging nahilo.","[(21, 69, 'DRUG'), (84, 90, 'ADE')]",filipino
Ang namaga ay isang epekto ng Mutivitamins + Zinc sabi ng doktor.,"[(30, 49, 'DRUG'), (4, 10, 'ADE')]",filipino
"Pagkatapos uminom ng Tramadol (as hydrochloride) + Dexketoprofen (as 
trometamol), ako'y naging hindi makadumi.","[(21, 81, 'DRUG'), (96, 110, 'ADE')]",filipino
"Dahil sa Iomeprol, ako ay nakaramdam ng malabo ang paningin.","[(9, 17, 'DRUG'), (40, 59, 'ADE')]",filipino
"Nagka-hindi makatulog ako matapos gamitin ang Dexmedetomidine (as hydrochloride) in 0.9% Sodium 
Chloride.","[(46, 105, 'DRUG'), (6, 21, 'ADE')]",filipino
"Marami ang nagsabing malabo ang paningin ang epekto ng Measles, Mumps, Rubella and Varicella Vaccine (Live).","[(55, 107, 'DRUG'), (21, 40, 'ADE')]",filipino
Nagka-nanghina ako matapos gamitin ang Bifonazole.,"[(39, 49, 'DRUG'), (6, 14, 'ADE')]",filipino
"nabalisa ang naramdaman ko matapos ang Thiamine Mononitrate 
Hydrochloride 
(Vitamin B12).","[(39, 89, 'DRUG'), (0, 8, 'ADE')]",filipino
"Simula nang ininom ko ang Insulin Lispro, palagi akong nanghina.","[(26, 40, 'DRUG'), (55, 63, 'ADE')]",filipino
natuyo ang bibig ang naramdaman ko matapos ang Rifampicin; Isoniazid + Pyridoxine Hydrochloride.,"[(47, 95, 'DRUG'), (0, 16, 'ADE')]",filipino
Ang hindi makadumi ay isang epekto ng Polyethylene Glycol 3350 + Sodium Chloride + Sodium Bicarbonate + Potassium Chloride sabi ng doktor.,"[(38, 122, 'DRUG'), (4, 18, 'ADE')]",filipino
Naranasan ko ang nanginginig pagkatapos kong inumin ang Guaifenesin + Phenylpropanolamine Hydrochloride.,"[(56, 103, 'DRUG'), (17, 28, 'ADE')]",filipino
Naranasan ko ang hindi makadumi pagkatapos kong inumin ang Paracetamol + Diphenhydramine.,"[(59, 88, 'DRUG'), (17, 31, 'ADE')]",filipino
"Simula nang ininom ko ang Dabigatran Etexilate (as mesilate), palagi akong nahirapang huminga.","[(26, 60, 'DRUG'), (75, 93, 'ADE')]",filipino
"Simula nang ininom ko ang CHLORAMPHENICOL, palagi akong nasusuka.","[(26, 41, 'DRUG'), (56, 64, 'ADE')]",filipino
"Pagkatapos uminom ng Ketoanalogues and Essential Amino Acids, ako'y naging sumakit ang kalamnan.","[(21, 60, 'DRUG'), (75, 95, 'ADE')]",filipino
nagkapantal ang naramdaman ko matapos ang Losartan + Hydrochlorothiazide.,"[(42, 72, 'DRUG'), (0, 11, 'ADE')]",filipino
Nakaramdam ako ng hindi makatulog matapos uminom ng Divalproex sodium (equivalent to Valproic Acid).,"[(52, 99, 'DRUG'), (18, 33, 'ADE')]",filipino
Si nanay ay nakaranas ng nanghina pagkatapos uminom ng Paracetamol + Caffeine.,"[(55, 77, 'DRUG'), (25, 33, 'ADE')]",filipino
Si nanay ay nakaranas ng nagkapantal pagkatapos uminom ng Cefixime (As Trihydrate).,"[(58, 82, 'DRUG'), (25, 36, 'ADE')]",filipino
Marami ang nagsabing kinabahan ang epekto ng Sorafenib Tosylate.,"[(45, 63, 'DRUG'), (21, 30, 'ADE')]",filipino
Marami ang nagsabing nasusuka ang epekto ng Modified Fluid Gelatin.,"[(44, 66, 'DRUG'), (21, 29, 'ADE')]",filipino
"nasusuka ang naramdaman ko matapos ang Ascorbic Acid (as Sodium Ascorbate) + Zinc + 
Colecalciferol (Vitamin D3).","[(39, 113, 'DRUG'), (0, 8, 'ADE')]",filipino
Ang nilamig ay isang epekto ng Azithromycin Dihydrate sabi ng doktor.,"[(31, 53, 'DRUG'), (4, 11, 'ADE')]",filipino
Nakaramdam ako ng natuyo ang bibig matapos uminom ng Ascorbic Acid + Zinc (As Sulfate Monohydrate).,"[(53, 98, 'DRUG'), (18, 34, 'ADE')]",filipino
"Dahil sa Calfactant, ako ay nakaramdam ng malabo ang paningin.","[(9, 19, 'DRUG'), (42, 61, 'ADE')]",filipino
Si nanay ay nakaranas ng nagtatae pagkatapos uminom ng Factor VIII Inhibitor Bypassing Activity.,"[(55, 95, 'DRUG'), (25, 33, 'ADE')]",filipino
Naranasan ko ang sumakit ang kalamnan pagkatapos kong inumin ang Dexketoprofen (as trometamol).,"[(65, 94, 'DRUG'), (17, 37, 'ADE')]",filipino
"Pagkatapos uminom ng Interferon Alfa-2B (Human), ako'y naging nabalisa.","[(21, 47, 'DRUG'), (62, 70, 'ADE')]",filipino
"Dahil sa Antithymocyte Immunoglobulin (ATG) (Equine), ako ay nakaramdam ng nilamig.","[(9, 52, 'DRUG'), (75, 82, 'ADE')]",filipino
"Dahil sa Multivitamins + Minerals + Lysine (see reverse for 
formulation), ako ay nakaramdam ng malabo ang paningin.","[(9, 74, 'DRUG'), (97, 116, 'ADE')]",filipino
Ang natuyo ang bibig ay isang epekto ng Guaifenesin + Bromhexine Hydrochloride sabi ng doktor.,"[(40, 78, 'DRUG'), (4, 20, 'ADE')]",filipino
nabalisa ang naramdaman ko matapos ang Folic Acid; Thiamine Mononitrate (Vit. B1); Pyridoxine Hydrochloride (Vit. B6); Cyanocobalamin (Vit. B12).,"[(39, 144, 'DRUG'), (0, 8, 'ADE')]",filipino
"Naranasan ko ang malabo ang paningin pagkatapos kong inumin ang Thiamine Hydrochloride(Vitamin B1) + Pyridoxine 
Hydrochloride(Vitamin B6) + Cyanocobalamin 
(Vita.","[(64, 162, 'DRUG'), (17, 36, 'ADE')]",filipino
Nagka-nanghina ako matapos gamitin ang Chlorphenamine maleate.,"[(39, 61, 'DRUG'), (6, 14, 'ADE')]",filipino
"Dahil sa Amino Acid + Sorbitol, ako ay nakaramdam ng namaga.","[(9, 30, 'DRUG'), (53, 59, 'ADE')]",filipino
Ang nabalisa ay isang epekto ng Phenytoin sodium sabi ng doktor.,"[(32, 48, 'DRUG'), (4, 12, 'ADE')]",filipino
"Pagkatapos uminom ng Callicarpa nudiflora Hook. Et Arn. (Nakedflower
Beautyberry) Leaf Dry Extract, ako'y naging nanghina.","[(21, 99, 'DRUG'), (114, 122, 'ADE')]",filipino
"Si nanay ay nakaranas ng sumakit ang ulo pagkatapos uminom ng Calcipotriol (as monohydrate) + Betamethasone (as 
dipropionate).","[(62, 127, 'DRUG'), (25, 40, 'ADE')]",filipino
"Pagkatapos uminom ng 30% Dextrose In Water, ako'y naging nanginginig.","[(21, 42, 'DRUG'), (57, 68, 'ADE')]",filipino
Nakaramdam ako ng nagsuka matapos uminom ng CALAMINE + ZINC OXIDE.,"[(44, 65, 'DRUG'), (18, 25, 'ADE')]",filipino
Ang nilamig ay isang epekto ng Multivitamins + Minerals + Lysine + Inositol sabi ng doktor.,"[(31, 75, 'DRUG'), (4, 11, 'ADE')]",filipino
"Dahil sa Multivitamins+Minerals+Lecithin+Inositol+Hydrolysed Rice Protein, ako ay nakaramdam ng malabo ang paningin.","[(9, 73, 'DRUG'), (96, 115, 'ADE')]",filipino
Nakaramdam ako ng namaga matapos uminom ng Iomeprol.,"[(43, 51, 'DRUG'), (18, 24, 'ADE')]",filipino
Ang nilagnat ay isang epekto ng Clopidogrel (as bisulfate) + Aspirin sabi ng doktor.,"[(32, 68, 'DRUG'), (4, 12, 'ADE')]",filipino
Ang nahirapang huminga ay isang epekto ng Ibuprofen (Orange Flavor) sabi ng doktor.,"[(42, 67, 'DRUG'), (4, 22, 'ADE')]",filipino
Nagka-malabo ang paningin ako matapos gamitin ang Azithromycin (as Monohydrate).,"[(50, 79, 'DRUG'), (6, 25, 'ADE')]",filipino
Ang nanghina ay isang epekto ng Cefixime As Trihydrate sabi ng doktor.,"[(32, 54, 'DRUG'), (4, 12, 'ADE')]",filipino
Si nanay ay nakaranas ng nilagnat pagkatapos uminom ng Dapagliflozin (as propanediol monohydrate).,"[(55, 97, 'DRUG'), (25, 33, 'ADE')]",filipino
Si nanay ay nakaranas ng hindi makatulog pagkatapos uminom ng Hyqdroquinone + Tretinoin.,"[(62, 87, 'DRUG'), (25, 40, 'ADE')]",filipino
